,Tratamiento,Repetición,Incidencia_4d,Incidencia_7d,Incidencia_11d,Incidencia_14d,Severidad_4d,Severidad_7d,Severidad_11d,Severidad_14d
,T1,1,0,0,33.3,33.3,0,0,4,5
,T1,2,0,33.3,66.6,66.6,0,3,9,12
,T1,3,0,0,0,33.3,0,0,0,4
,T2,1,0,0,33.3,66.6,0,0,3,10
,T2,2,0,0,0,0,0,0,0,0
,T2,3,0,0,0,33.3,0,0,0,3
,T3,1,0,0,0,0,0,0,0,0
,T3,2,0,0,33.3,33.3,0,0,5,4
,T3,3,0,0,0,0,0,0,0,0
,T4,1,0,33.3,66.6,100,0,4,8,14
,T4,2,0,0,33.3,66.6,0,0,4,8
,T4,3,0,66.6,66.6,66.6,0,7,10,9
,T5,1,0,0,33.3,33.3,0,0,2,4
,T5,2,0,0,0,33.3,0,0,0,3
,T5,3,0,0,33.3,66.6,0,0,3,3
